,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
342,Bonavista,48.65,-53.11,60.01,85,99,13.0,CA,1603258476
343,Merauke,-8.47,140.33,82.81,77,52,15.9,ID,1603258477
344,São Filipe,14.9,-24.5,82.17,67,85,5.64,CV,1603258477
345,Bull Savanna,17.89,-77.59,75.78,88,100,9.71,JM,1603258477
346,Anloga,5.79,0.9,77.0,94,20,6.93,GH,1603258477
347,Cayenne,4.93,-52.33,75.2,100,93,9.51,GF,1603258478
348,Half Moon Bay,37.46,-122.43,66.2,55,1,1.95,US,1603258185
349,Lālmohan,22.34,90.74,77.02,90,100,5.3,BD,1603258478
350,Agadez,19.75,10.25,76.5,18,0,8.28,NE,1603258478
351,Yar-Sale,66.83,70.83,27.01,98,100,6.06,RU,1603258478
352,Santo Antônio do Içá,-3.1,-67.94,74.03,74,98,0.58,BR,1603258479
353,Lüderitz,-26.65,15.16,70.29,26,0,5.5,NA,1603258479
354,Aksarka,66.56,67.8,21.88,98,100,8.08,RU,1603258479
355,Fernie,49.5,-115.07,32.0,88,75,1.97,CA,1603258479
356,Tārūt,26.57,50.04,75.2,27,0,6.93,SA,1603258479
357,Noumea,-22.28,166.46,82.4,54,75,8.05,NC,1603258480
358,Qinzhou,21.95,108.62,75.49,58,4,19.26,CN,1603258480
359,Sawtell,-30.38,153.1,69.8,64,40,9.17,AU,1603258480
360,Paramonga,-10.67,-77.83,61.79,87,81,6.76,PE,1603258480
361,Iisalmi,63.56,27.19,30.2,86,75,8.05,FI,1603258481
362,Kieta,-6.22,155.63,83.53,69,99,3.91,PG,1603258481
363,Hoquiam,46.98,-123.89,48.99,66,1,4.7,US,1603258481
364,Singaraja,-8.11,115.09,87.57,54,12,3.91,ID,1603258481
365,Scottsbluff,41.87,-103.67,44.6,65,90,3.36,US,1603258481
366,Nicoya,10.15,-85.45,74.71,90,100,2.21,CR,1603258482
367,Ifakara,-8.13,36.68,81.88,53,85,4.09,TZ,1603258482
